,tuned_model,sensitivity_model,best_model_f1_score,sensitivity_model_f1_score,parameter_f1_impact,param_changed
scoring,loss,,0.791757327531038,0.790221425828747,-0.0015359017022910093,loss -> None
max_leaf_nodes,31,32,0.791757327531038,0.7904834996162701,-0.0012738279147679332,31 -> 32
max_bins,255,254,0.791757327531038,0.7912932138284251,-0.0004641137026129005,255 -> 254
max_depth,,10,0.791757327531038,0.7912987843889954,-0.00045854314204263336,None -> 10
max_iter,100,110,0.791757327531038,0.7916026625704045,-0.00015466496063354374,100 -> 110
early_stopping,auto,True,0.791757327531038,0.791757327531038,0.0,auto -> True
l2_regularization,0.0,0.001,0.791757327531038,0.791757327531038,0.0,0.0 -> 0.001
n_iter_no_change,10,11,0.791757327531038,0.791757327531038,0.0,10 -> 11
tol,1e-07,1e-06,0.791757327531038,0.791757327531038,0.0,1e-07 -> 1e-06
learning_rate,0.05,0.04,0.791757327531038,0.7920665387076136,0.0003092111765755634,0.05 -> 0.04
validation_fraction,0.1,0.11,0.791757327531038,0.7923804653541293,0.0006231378230913132,0.1 -> 0.11
min_samples_leaf,25,26,0.791757327531038,0.7933503836317136,0.001593056100675616,25 -> 26
